# All individual data points from all datasets
# Note: Adsorption energy has been multiplied by -1
# Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage(atom/nm²)	E_ads(eV)	Folder
700	0.1 bar	-1.0000	1.4286	1.592110	31.873570	RMD_Relax_700k_0.1atm
700	0.1 bar	-1.0000	1.4286	1.604081	31.534955	RMD_Relax_700k_0.1atm
700	0.25 bar	-0.6021	1.4286	1.556198	31.627882	RMD_Relax_700k_0.25atm
700	0.25 bar	-0.6021	1.4286	1.568169	32.023152	RMD_Relax_700k_0.25atm
700	0.25 bar	-0.6021	1.4286	1.472403	32.870854	RMD_Relax_700k_0.25atm
700	0.25 bar	-0.6021	1.4286	1.544227	30.386830	RMD_Relax_700k_0.25atm
700	0.25 bar	-0.6021	1.4286	1.484373	33.391587	RMD_Relax_700k_0.25atm
700	0.5 bar	-0.3010	1.4286	1.639993	31.537078	RMD_Relax_700k_0.5atm
700	0.5 bar	-0.3010	1.4286	1.628022	29.006219	RMD_Relax_700k_0.5atm
700	0.5 bar	-0.3010	1.4286	1.568169	32.724623	RMD_Relax_700k_0.5atm
700	0.5 bar	-0.3010	1.4286	1.604081	31.024948	RMD_Relax_700k_0.5atm
700	0.5 bar	-0.3010	1.4286	1.568169	30.361845	RMD_Relax_700k_0.5atm
700	0.75 bar	-0.1249	1.4286	1.639993	31.998173	RMD_Relax_700k_0.75atm
700	0.75 bar	-0.1249	1.4286	1.568169	30.091593	RMD_Relax_700k_0.75atm
700	0.75 bar	-0.1249	1.4286	1.616052	31.446032	RMD_Relax_700k_0.75atm
700	0.75 bar	-0.1249	1.4286	1.651964	31.328636	RMD_Relax_700k_0.75atm
700	0.75 bar	-0.1249	1.4286	1.448461	31.931480	RMD_Relax_700k_0.75atm
700	1 bar	0.0000	1.4286	1.639993	30.705330	RMD_Relax_700k_1atm
700	1 bar	0.0000	1.4286	1.544227	31.707470	RMD_Relax_700k_1atm
700	1 bar	0.0000	1.4286	1.759701	30.423261	RMD_Relax_700k_1atm
700	1 bar	0.0000	1.4286	1.496344	32.727500	RMD_Relax_700k_1atm
700	1 bar	0.0000	1.4286	1.639993	30.184873	RMD_Relax_700k_1atm
700	2.5 bar	0.3979	1.4286	1.723788	28.009168	RMD_Relax_700k_2.5atm
700	2.5 bar	0.3979	1.4286	1.747730	31.227565	RMD_Relax_700k_2.5atm
700	2.5 bar	0.3979	1.4286	1.616052	32.249055	RMD_Relax_700k_2.5atm
700	2.5 bar	0.3979	1.4286	1.687876	30.431070	RMD_Relax_700k_2.5atm
700	2.5 bar	0.3979	1.4286	1.723788	29.214694	RMD_Relax_700k_2.5atm
700	5 bar	0.6990	1.4286	1.759701	30.531237	RMD_Relax_700k_5atm
700	5 bar	0.6990	1.4286	1.651964	30.839008	RMD_Relax_700k_5atm
700	5 bar	0.6990	1.4286	1.628022	30.588499	RMD_Relax_700k_5atm
700	5 bar	0.6990	1.4286	1.639993	31.524622	RMD_Relax_700k_5atm
700	5 bar	0.6990	1.4286	1.580139	30.622733	RMD_Relax_700k_5atm
700	7.5 bar	0.8751	1.4286	1.592110	31.387806	RMD_Relax_700k_7.5atm
700	7.5 bar	0.8751	1.4286	1.592110	31.699096	RMD_Relax_700k_7.5atm
700	7.5 bar	0.8751	1.4286	1.675905	30.620188	RMD_Relax_700k_7.5atm
700	7.5 bar	0.8751	1.4286	1.759701	30.590021	RMD_Relax_700k_7.5atm
700	7.5 bar	0.8751	1.4286	1.723788	30.807480	RMD_Relax_700k_7.5atm
700	10 bar	1.0000	1.4286	1.663935	29.248924	RMD_Relax_700k_10atm
700	10 bar	1.0000	1.4286	1.699847	28.702022	RMD_Relax_700k_10atm
700	10 bar	1.0000	1.4286	1.759701	29.871315	RMD_Relax_700k_10atm
700	10 bar	1.0000	1.4286	1.735759	30.060467	RMD_Relax_700k_10atm
700	10 bar	1.0000	1.4286	1.771671	30.855313	RMD_Relax_700k_10atm
800	0.1 bar	-1.0000	1.2500	1.423927	34.125592	RMD_Relax_800k_0.1atm
800	0.1 bar	-1.0000	1.2500	1.603414	33.724622	RMD_Relax_800k_0.1atm
800	0.1 bar	-1.0000	1.2500	1.579482	33.166828	RMD_Relax_800k_0.1atm
800	0.1 bar	-1.0000	1.2500	1.639311	32.643392	RMD_Relax_800k_0.1atm
800	0.1 bar	-1.0000	1.2500	1.615379	33.573340	RMD_Relax_800k_0.1atm
800	0.25 bar	-0.6021	1.2500	1.735037	30.298476	RMD_Relax_800k_0.25atm
800	0.25 bar	-0.6021	1.2500	1.699140	31.001629	RMD_Relax_800k_0.25atm
800	0.25 bar	-0.6021	1.2500	1.723071	32.343806	RMD_Relax_800k_0.25atm
800	0.25 bar	-0.6021	1.2500	1.447859	34.380258	RMD_Relax_800k_0.25atm
800	0.25 bar	-0.6021	1.2500	1.675208	33.473559	RMD_Relax_800k_0.25atm
800	0.5 bar	-0.3010	1.2500	1.603414	31.603778	RMD_Relax_800k_0.5atm
800	0.5 bar	-0.3010	1.2500	1.615379	35.042814	RMD_Relax_800k_0.5atm
800	0.5 bar	-0.3010	1.2500	1.747003	31.457705	RMD_Relax_800k_0.5atm
800	0.5 bar	-0.3010	1.2500	1.842729	29.676382	RMD_Relax_800k_0.5atm
800	0.5 bar	-0.3010	1.2500	1.543585	31.647994	RMD_Relax_800k_0.5atm
800	0.75 bar	-0.1249	1.2500	1.723071	30.464021	RMD_Relax_800k_0.75atm
800	0.75 bar	-0.1249	1.2500	1.735037	32.514384	RMD_Relax_800k_0.75atm
800	0.75 bar	-0.1249	1.2500	1.675208	31.731132	RMD_Relax_800k_0.75atm
800	0.75 bar	-0.1249	1.2500	1.747003	29.345335	RMD_Relax_800k_0.75atm
800	0.75 bar	-0.1249	1.2500	1.651277	32.478681	RMD_Relax_800k_0.75atm
800	1 bar	0.0000	1.2500	1.507687	33.204104	RMD_Relax_800k_1atm
800	1 bar	0.0000	1.2500	1.735037	31.368630	RMD_Relax_800k_1atm
800	1 bar	0.0000	1.2500	1.711106	32.292731	RMD_Relax_800k_1atm
800	1 bar	0.0000	1.2500	1.806832	30.849677	RMD_Relax_800k_1atm
800	1 bar	0.0000	1.2500	1.711106	30.753250	RMD_Relax_800k_1atm
800	2.5 bar	0.3979	1.2500	1.723071	30.797985	RMD_Relax_800k_2.5atm
800	2.5 bar	0.3979	1.2500	1.818798	30.487798	RMD_Relax_800k_2.5atm
800	2.5 bar	0.3979	1.2500	1.794866	30.171157	RMD_Relax_800k_2.5atm
800	2.5 bar	0.3979	1.2500	1.675208	30.587745	RMD_Relax_800k_2.5atm
800	2.5 bar	0.3979	1.2500	1.818798	31.166314	RMD_Relax_800k_2.5atm
800	5 bar	0.6990	1.2500	1.711106	31.472706	RMD_Relax_800k_5atm
800	5 bar	0.6990	1.2500	1.699140	30.314862	RMD_Relax_800k_5atm
800	5 bar	0.6990	1.2500	1.747003	31.194779	RMD_Relax_800k_5atm
800	5 bar	0.6990	1.2500	1.663242	32.801645	RMD_Relax_800k_5atm
800	5 bar	0.6990	1.2500	1.770934	31.147310	RMD_Relax_800k_5atm
800	7.5 bar	0.8751	1.2500	1.926490	28.860128	RMD_Relax_800k_7.5atm
800	7.5 bar	0.8751	1.2500	1.723071	32.376577	RMD_Relax_800k_7.5atm
800	7.5 bar	0.8751	1.2500	1.806832	28.926218	RMD_Relax_800k_7.5atm
800	7.5 bar	0.8751	1.2500	1.878626	30.323887	RMD_Relax_800k_7.5atm
800	7.5 bar	0.8751	1.2500	1.998284	29.304190	RMD_Relax_800k_7.5atm
