# All individual data points from all datasets
# Note: Adsorption energy has been multiplied by -1
# Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage(atom/nm²)	E_ads(eV)	Folder
600	0.1 bar	-1.0000	1.6667	3.901483	2.751911	RMD_Relax_600k_0.1atm
600	0.25 bar	-0.6021	1.6667	4.116902	2.814532	RMD_Relax_600k_0.25atm
600	0.25 bar	-0.6021	1.6667	4.092967	2.851979	RMD_Relax_600k_0.25atm
600	0.25 bar	-0.6021	1.6667	4.176741	2.790646	RMD_Relax_600k_0.25atm
600	0.25 bar	-0.6021	1.6667	4.308386	2.905837	RMD_Relax_600k_0.25atm
600	0.25 bar	-0.6021	1.6667	3.913451	2.811519	RMD_Relax_600k_0.25atm
600	0.5 bar	-0.3010	1.6667	4.021161	2.698431	RMD_Relax_600k_0.5atm
600	0.5 bar	-0.3010	1.6667	4.368225	2.878986	RMD_Relax_600k_0.5atm
600	0.5 bar	-0.3010	1.6667	4.475935	2.881835	RMD_Relax_600k_0.5atm
600	0.5 bar	-0.3010	1.6667	4.057064	2.776056	RMD_Relax_600k_0.5atm
600	0.5 bar	-0.3010	1.6667	3.973290	2.820327	RMD_Relax_600k_0.5atm
600	0.75 bar	-0.1249	1.6667	4.248548	2.924809	RMD_Relax_600k_0.75atm
600	0.75 bar	-0.1249	1.6667	3.865580	2.775628	RMD_Relax_600k_0.75atm
600	0.75 bar	-0.1249	1.6667	4.057064	2.960281	RMD_Relax_600k_0.75atm
600	0.75 bar	-0.1249	1.6667	4.009193	2.745219	RMD_Relax_600k_0.75atm
600	0.75 bar	-0.1249	1.6667	4.200677	2.712201	RMD_Relax_600k_0.75atm
600	1 bar	0.0000	1.6667	4.511838	2.760970	RMD_Relax_600k_1atm
600	1 bar	0.0000	1.6667	4.583644	3.083666	RMD_Relax_600k_1atm
600	1 bar	0.0000	1.6667	4.559709	2.954330	RMD_Relax_600k_1atm
600	1 bar	0.0000	1.6667	4.224612	2.790913	RMD_Relax_600k_1atm
600	1 bar	0.0000	1.6667	4.487902	2.849215	RMD_Relax_600k_1atm
600	2.5 bar	0.3979	1.6667	4.380193	2.847868	RMD_Relax_600k_2.5atm
600	2.5 bar	0.3979	1.6667	4.571677	2.962417	RMD_Relax_600k_2.5atm
600	2.5 bar	0.3979	1.6667	4.691354	2.973097	RMD_Relax_600k_2.5atm
600	2.5 bar	0.3979	1.6667	4.463967	3.089663	RMD_Relax_600k_2.5atm
600	2.5 bar	0.3979	1.6667	4.404128	2.812345	RMD_Relax_600k_2.5atm
